x,t,act,stretch,stretch_prev,n 
-15.60000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.79636754
 10.40000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.81206702
 15.60000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.81237652
 20.80000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.79664955
 10.40000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.81207804
 15.60000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.81237684
 20.80000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.79692659
 10.40000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.81208867
 15.60000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.81237714
 20.80000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22300000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.79719876
 10.40000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.81209894
 15.60000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.81237743
 20.80000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22400000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.79746613
 10.40000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.81210884
 15.60000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.81237771
 20.80000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22500000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.79772880
 10.40000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.81211840
 15.60000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.81237797
 20.80000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22600000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.79798683
 10.40000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.81212763
 15.60000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.81237822
 20.80000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22700000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.79824033
 10.40000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.81213653
 15.60000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.81237845
 20.80000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22800000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.79848936
 10.40000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.81214512
 15.60000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.81237868
 20.80000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.22900000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.79873401
 10.40000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.81215342
 15.60000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.81237889
 20.80000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.23000000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  0.00000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
  5.20000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.79897435
 10.40000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.81216142
 15.60000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.81237909
 20.80000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 26.00000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 31.20000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 36.40000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 41.60000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 46.80000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 52.00000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 57.20000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 62.40000000,  0.23100000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-20.80000000,  0.23200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-15.60000000,  0.23200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
-10.40000000,  0.23200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
 -5.20000000,  0.23200000,  1.00000000,  1.00000000,  1.00000000,  0.00000000
